,male,female,m/f ratio
Jan 2004-Dec 2004,7.3,7.2,1.0138888888888888
Jan 2005-Dec 2005,7.8,6.5,1.2
Jan 2006-Dec 2006,7.9,7.3,1.082191780821918
Jan 2007-Dec 2007,6.7,7.1,0.943661971830986
Jan 2008-Dec 2008,6.9,7.2,0.9583333333333334
Jan 2009-Dec 2009,9.0,9.4,0.9574468085106382
Jan 2010-Dec 2010,9.0,8.7,1.0344827586206897
Jan 2011-Dec 2011,9.4,9.6,0.9791666666666667
Jan 2012-Dec 2012,9.1,9.4,0.9680851063829786
Jan 2013-Dec 2013,8.5,9.1,0.9340659340659341
Jan 2014-Dec 2014,6.6,7.4,0.8918918918918918
Jan 2015-Dec 2015,5.9,6.2,0.9516129032258065
Jan 2016-Dec 2016,5.1,6.3,0.8095238095238095
Jan 2017-Dec 2017,4.9,5.8,0.8448275862068967
Jan 2018-Dec 2018,4.8,5.2,0.923076923076923
Jan 2019-Dec 2019,4.9,4.2,1.1666666666666667
Jan 2020-Dec 2020,6.1,5.8,1.0517241379310345
Jan 2021-Dec 2021,5.3,5.9,0.8983050847457626
Jan 2022-Dec 2022,3.8,5.1,0.7450980392156863
Jan 2023-Dec 2023,5.0,5.0,1.0
